timestamp,messageType,latency,statusCode,roomId
1770509880848,TEXT,37,OK,5
1770509880848,TEXT,52,OK,12
1770509880848,TEXT,46,OK,7
1770509880848,TEXT,39,OK,3
1770509880848,TEXT,34,OK,18
1770509880848,JOIN,44,OK,10
1770509880848,TEXT,39,OK,10
1770509880848,TEXT,48,OK,14
1770509880848,TEXT,42,OK,14
1770509880848,TEXT,38,OK,15
1770509880848,TEXT,37,OK,14
1770509880848,TEXT,48,OK,8
1770509880848,TEXT,47,OK,12
1770509880848,TEXT,34,OK,4
1770509880848,TEXT,40,OK,18
1770509880848,TEXT,47,OK,7
1770509880848,TEXT,33,OK,10
1770509880848,TEXT,50,OK,14
1770509880848,TEXT,36,OK,5
1770509880848,TEXT,45,OK,19
1770509880848,TEXT,40,OK,17
1770509880848,TEXT,47,OK,3
1770509880848,TEXT,44,OK,13
1770509880848,TEXT,35,OK,4
1770509880848,TEXT,45,OK,16
1770509880848,TEXT,40,OK,2
1770509880848,JOIN,40,OK,2
1770509880848,TEXT,51,OK,18
1770509880854,TEXT,38,OK,13
1770509880856,TEXT,29,OK,18
1770509880856,TEXT,40,OK,19
1770509880856,TEXT,39,OK,5
1770509880872,TEXT,63,OK,10
1770509880872,TEXT,63,OK,10
1770509880874,JOIN,73,OK,12
1770509880879,TEXT,77,OK,7
1770509880879,JOIN,78,OK,3
1770509880879,TEXT,78,OK,3
1770509880879,TEXT,52,OK,18
1770509880880,TEXT,27,OK,19
1770509880880,TEXT,26,OK,1
1770509880880,TEXT,25,OK,14
1770509880881,TEXT,30,OK,2
1770509880881,TEXT,30,OK,10
1770509880883,TEXT,30,OK,17
1770509880883,TEXT,30,OK,10
1770509880883,TEXT,28,OK,20
1770509880883,TEXT,66,OK,5
1770509880895,JOIN,30,OK,6
1770509880895,LEAVE,30,OK,12
1770509880895,TEXT,31,OK,17
1770509880895,TEXT,31,OK,9
1770509880895,TEXT,26,OK,4
1770509880895,TEXT,26,OK,9
1770509880895,LEAVE,38,OK,8
1770509880895,TEXT,30,OK,16
1770509880895,TEXT,38,OK,4
1770509880895,TEXT,31,OK,7
1770509880895,JOIN,26,OK,3
1770509880895,TEXT,26,OK,18
1770509880903,TEXT,34,OK,17
1770509880903,JOIN,33,OK,18
1770509880903,TEXT,34,OK,17
1770509880903,TEXT,33,OK,10
1770509880903,TEXT,34,OK,13
1770509880908,TEXT,35,OK,2
1770509880908,TEXT,36,OK,13
1770509880909,JOIN,36,OK,6
1770509880909,TEXT,34,OK,5
1770509880909,TEXT,28,OK,14
1770509880909,TEXT,29,OK,13
1770509880909,TEXT,27,OK,8
1770509880910,TEXT,29,OK,18
1770509880913,TEXT,33,OK,14
1770509880913,JOIN,33,OK,5
1770509880913,TEXT,33,OK,14
1770509880915,TEXT,35,OK,15
1770509880928,TEXT,59,OK,13
1770509880930,TEXT,26,OK,4
1770509880932,TEXT,23,OK,8
1770509880941,TEXT,27,OK,10
1770509880941,TEXT,30,OK,18
1770509880943,TEXT,30,OK,16
1770509880943,TEXT,32,OK,5
1770509880943,TEXT,31,OK,19
1770509880943,LEAVE,30,OK,8
1770509880946,TEXT,26,OK,20
1770509880946,TEXT,30,OK,1
1770509880946,TEXT,35,OK,1
1770509880946,TEXT,26,OK,20
1770509880946,TEXT,23,OK,9
1770509880947,TEXT,23,OK,15
1770509880947,TEXT,23,OK,17
1770509880946,TEXT,31,OK,17
1770509880947,JOIN,31,OK,9
1770509880947,TEXT,31,OK,3
1770509880947,TEXT,26,OK,4
1770509880947,TEXT,29,OK,2
1770509880947,TEXT,23,OK,10
1770509880947,TEXT,31,OK,13
1770509880957,TEXT,29,OK,10
1770509880957,TEXT,23,OK,19
1770509880960,TEXT,34,OK,4
1770509880960,TEXT,31,OK,4
1770509880960,TEXT,32,OK,15
1770509880960,TEXT,29,OK,8
1770509880960,LEAVE,34,OK,5
1770509880960,JOIN,29,OK,1
1770509880966,TEXT,31,OK,3
1770509880967,TEXT,30,OK,20
1770509880969,TEXT,57,OK,18
1770509880972,TEXT,28,OK,4
1770509880972,LEAVE,56,OK,1
1770509880972,TEXT,28,OK,11
1770509880975,TEXT,31,OK,10
1770509880975,TEXT,28,OK,16
1770509880975,TEXT,28,OK,16
1770509880982,TEXT,22,OK,14
1770509881005,TEXT,38,OK,2
1770509881005,TEXT,37,OK,20
1770509881005,TEXT,28,OK,20
1770509881005,JOIN,37,OK,5
1770509881005,TEXT,38,OK,17
1770509881005,TEXT,34,OK,3
1770509881005,LEAVE,29,OK,13
1770509881005,TEXT,33,OK,3
1770509881005,TEXT,30,OK,6
1770509881006,TEXT,30,OK,11
1770509881006,TEXT,33,OK,8
1770509881006,TEXT,33,OK,2
1770509881011,TEXT,30,OK,8
1770509881011,TEXT,28,OK,14
1770509881011,TEXT,26,OK,5
1770509881011,TEXT,26,OK,3
1770509881011,TEXT,30,OK,13
1770509881012,TEXT,31,OK,17
1770509881012,TEXT,35,OK,4
1770509881012,TEXT,35,OK,7
1770509881012,TEXT,34,OK,1
1770509881013,TEXT,28,OK,12
1770509881013,TEXT,26,OK,1
1770509881013,TEXT,26,OK,9
1770509881014,TEXT,27,OK,3
1770509881014,TEXT,29,OK,19
1770509881014,TEXT,30,OK,20
1770509881030,TEXT,24,OK,9
1770509881038,TEXT,31,OK,10
1770509881038,TEXT,31,OK,17
1770509881038,JOIN,30,OK,14
1770509881039,TEXT,32,OK,19
1770509881039,TEXT,31,OK,14
1770509881039,TEXT,32,OK,13
1770509881039,TEXT,27,OK,12
1770509881039,TEXT,31,OK,8
1770509881043,TEXT,32,OK,17
1770509881047,TEXT,30,OK,7
1770509881048,TEXT,21,OK,15
1770509881049,TEXT,22,OK,13
1770509881056,TEXT,26,OK,12
1770509881057,TEXT,26,OK,12
1770509881057,TEXT,26,OK,7
1770509881061,JOIN,24,OK,10
1770509881061,TEXT,24,OK,19
1770509881064,TEXT,24,OK,10
1770509881064,TEXT,25,OK,4
1770509881064,TEXT,26,OK,20
1770509881065,TEXT,26,OK,20
1770509881065,TEXT,26,OK,12
1770509881065,TEXT,26,OK,13
1770509881067,TEXT,55,OK,12
1770509881067,TEXT,29,OK,13
1770509881067,TEXT,23,OK,20
1770509881106,TEXT,64,OK,15
1770509881106,TEXT,63,OK,9
1770509881106,JOIN,66,OK,3
1770509881107,TEXT,42,OK,8
1770509881118,JOIN,74,OK,9
1770509881118,TEXT,73,OK,13
1770509881118,TEXT,67,OK,5
1770509881118,TEXT,73,OK,9
1770509881118,TEXT,74,OK,7
1770509881119,TEXT,75,OK,18
1770509881119,TEXT,72,OK,12
1770509881119,TEXT,74,OK,14
1770509881119,TEXT,60,OK,3
1770509881120,TEXT,58,OK,8
1770509881120,TEXT,58,OK,9
1770509881132,TEXT,71,OK,20
1770509881136,TEXT,25,OK,17
1770509881138,TEXT,70,OK,6
1770509881138,TEXT,72,OK,9
1770509881139,TEXT,71,OK,7
1770509881139,TEXT,70,OK,12
